Code #,Count,Title,HTML address,URL: doc address,Date accessed,Accessed by,Source,Day/Month,Year,Material type,Government Level 1,Government Level 2,Citation,Database name,Database link,Search terms used,Filters applied,Other Notes
1,80520,Mountain Pine Beetle: Strategies for Protecting the West,https://www.govinfo.gov/content/pkg/CHRG-111hhrg50438/html/CHRG-111hhrg50438.htm,https://www.govinfo.gov/content/pkg/CHRG-111hhrg50438/pdf/CHRG-111hhrg50438.pdf,1/11/2017,EF,,6/16,2009,Congressional document,House of Representatives,Committee on Natural Resources,,GovInfo: Beta Launch (U.S Government Publishing Office),https://www.govinfo.gov/,"""mountain pine beetle"" ""dendroctonus ponderosae""","Searched the ""Congressional hearings"", ""Congressional record"", ""Congressional reports"", ""GAO reports and comptroller general decisions"", ""Journal of House of Representatives"", and ""other"" collections",
2,38477,Oversight Hearing Concerning the Mountain Pine Beetle Epidemic in the Western United States,https://www.govinfo.gov/content/pkg/CHRG-110shrg44164/html/CHRG-110shrg44164.htm,https://www.govinfo.gov/content/pkg/CHRG-110shrg44164/pdf/CHRG-110shrg44164.pdf,1/11/2017,EF,,5/5,2008,Congressional document,Senate,"Committee on Appropriations - Subcommittee on Department of the Interior, Environment, and Related Agencies ",,GovInfo: Beta Launch (U.S Government Publishing Office),https://www.govinfo.gov/,"""mountain pine beetle"" ""dendroctonus ponderosae""","Searched the ""Congressional hearings"", ""Congressional record"", ""Congressional reports"", ""GAO reports and comptroller general decisions"", ""Journal of House of Representatives"", and ""other"" collections",
3,48219,"Logs in the Road: Eliminating Federal Red Tape and Excessive Litigation to Create Healthy Forests, Jobs and Abundant Water and Power Supplies",https://www.govinfo.gov/content/pkg/CHRG-112hhrg74271/html/CHRG-112hhrg74271.htm,https://www.govinfo.gov/content/pkg/CHRG-112hhrg74271/pdf/CHRG-112hhrg74271.pdf,1/12/2017,EF,,5/14,2012,Congressional document,House of Representatives,Committee on Natural Resources,,GovInfo: Beta Launch (U.S Government Publishing Office),https://www.govinfo.gov/,"""mountain pine beetle"" ""dendroctonus ponderosae""","Searched the ""Congressional hearings"", ""Congressional record"", ""Congressional reports"", ""GAO reports and comptroller general decisions"", ""Journal of House of Representatives"", and ""other"" collections",
4,53909,Climate Change on Federal Forests,https://www.govinfo.gov/content/pkg/CHRG-111shrg55124/html/CHRG-111shrg55124.htm,https://www.govinfo.gov/content/pkg/CHRG-111shrg55124/pdf/CHRG-111shrg55124.pdf,1/12/2017,EF,,11/18,2009,Congressional document,Senate,Committee on Energy and Natural Resources,,GovInfo: Beta Launch (U.S Government Publishing Office),https://www.govinfo.gov/,"""mountain pine beetle"" ""dendroctonus ponderosae""","Searched the ""Congressional hearings"", ""Congressional record"", ""Congressional reports"", ""GAO reports and comptroller general decisions"", ""Journal of House of Representatives"", and ""other"" collections",
5,53923,Hearing to Review the Future of Our Nation's Forests,https://www.govinfo.gov/content/pkg/CHRG-111hhrg52331/html/CHRG-111hhrg52331.htm,https://www.govinfo.gov/content/pkg/CHRG-111hhrg52331/pdf/CHRG-111hhrg52331.pdf,1/12/2017,EF,,6/3,2009,Congressional document,House of Representatives,Committee on Agriculture,,GovInfo: Beta Launch (U.S Government Publishing Office),https://www.govinfo.gov/,"""mountain pine beetle"" ""dendroctonus ponderosae""","Searched the ""Congressional hearings"", ""Congressional record"", ""Congressional reports"", ""GAO reports and comptroller general decisions"", ""Journal of House of Representatives"", and ""other"" collections",
6,6641,"Mountain Pine Beetles and Forest Destruction: Effects, Responses, and Relationship to Climate Change ",,http://congressional.proquest.com/congressional/result/pqpresultpage.gispdfhitspanel.pdflink/$2fapp-bin$2fgis-congresearch$2fa$2f6$2fc$2f4$2fcrs-2009-rsi-0142_from_1_to_16.pdf/entitlementkeys=1234|app-gis|congresearch|crs-2009-rsi-0142,1/12/2017,EF,,2/6,2009,Congressional document,Congressional Research Service,"Resources, Science, and Industry Division",,ProQuest Congressional,http://congressional.proquest.com,"""mountain pine beetle"" ""dendroctonus ponderosae""","Only searched documents included within: ""Congressional record bound"", ""CRS report"", ""Hearings published"", ""Hearings unpublished"", ""House and Senate journals"", ""House and Senate Reports"", ""Miscelaneous congressional publications"" ",
7,81918,"The federal government's role in wildfire management, the Impact of fires on communities, and potential improvements to be made in fire operations",,http://congressional.proquest.com/congressional/result/pqpresultpage.gispdfhitspanel.pdflink/$2fapp-bin$2fgis-hearing$2f1$2f1$2f7$2fe$2fhrg-2015-nar-0025-signed.pdf/entitlementkeys=1234,1/12/2017,EF,,5/5,2015,Congressional document,Senate,Committee on Energy and Natural Resources,,ProQuest Congressional,http://congressional.proquest.com,"""mountain pine beetle"" ""dendroctonus ponderosae""","Only searched documents included within: ""Congressional record bound"", ""CRS report"", ""Hearings published"", ""Hearings unpublished"", ""House and Senate journals"", ""House and Senate Reports"", ""Miscelaneous congressional publications"" ",
8,92077,Montana wilderness ,,http://congressional.proquest.com/congressional/result/pqpresultpage.gispdfhitspanel.pdflink/$2fapp-bin$2fgis-hearing$2f6$2f1$2fd$2f3$2fhrg-1977-nar-0058_from_1_to_223.pdf/entitlementkeys=1234|app-gis|hearing|hrg-1977-nar-0058,1/12/2017,EF,,4/6,1977,Congressional document,Senate,Committee on Energy and Natural Resources,,ProQuest Congressional,http://congressional.proquest.com,"""mountain pine beetle"" ""dendroctonus ponderosae""","Only searched documents included within: ""Congressional record bound"", ""CRS report"", ""Hearings published"", ""Hearings unpublished"", ""House and Senate journals"", ""House and Senate Reports"", ""Miscelaneous congressional publications"" ",
9,262436,Forest health and clearcutting,,http://congressional.proquest.com/congressional/result/pqpresultpage.gispdfhitspanel.pdflink/$2fapp-bin$2fgis-hearing$2fd$2fc$2f5$2f0$2fhrg-1992-hag-0033_from_1_to_705.pdf/entitlementkeys=1234|app-gis|hearing|hrg-1992-hag-0033,1/12/2017,EF,,5/23,1992,Congressional document,House of Representatives,Committee on Agriculture,,ProQuest Congressional,http://congressional.proquest.com,"""mountain pine beetle"" ""dendroctonus ponderosae""","Only searched documents included within: ""Congressional record bound"", ""CRS report"", ""Hearings published"", ""Hearings unpublished"", ""House and Senate journals"", ""House and Senate Reports"", ""Miscelaneous congressional publications"" ",
10,16119,Global warming's growing concerns: Impacts on agriculture and forestry,,http://congressional.proquest.com/congressional/result/pqpresultpage.gispdfhitspanel.pdflink/$2fapp-bin$2fgis-hearing$2f3$2f5$2f1$2f1$2fhrg-2009-egw-0007-signed.pdf/entitlementkeys=1234,1/12/2017,EF,,6/18,2009,Congressional document,House of Representatives,Committee on Energy Independence and Global Warming,,ProQuest Congressional,http://congressional.proquest.com,"""mountain pine beetle"" ""dendroctonus ponderosae""","Only searched documents included within: ""Congressional record bound"", ""CRS report"", ""Hearings published"", ""Hearings unpublished"", ""House and Senate journals"", ""House and Senate Reports"", ""Miscelaneous congressional publications"" ",
